snapshots,Antigua load
3/1/2018 0:00,40.3
3/1/2018 1:00,37.56
3/1/2018 2:00,36.97
3/1/2018 3:00,36.32
3/1/2018 4:00,37.89
3/1/2018 5:00,42.75
3/1/2018 6:00,48.01
3/1/2018 7:00,51.3
3/1/2018 8:00,52.33
3/1/2018 9:00,54.3
3/1/2018 10:00,55.99
3/1/2018 11:00,56.89
3/1/2018 12:00,56.96
3/1/2018 13:00,55.58
3/1/2018 14:00,54.64
3/1/2018 15:00,54.19
3/1/2018 16:00,51.56
3/1/2018 17:00,51
3/1/2018 18:00,55.78
3/1/2018 19:00,57.8
3/1/2018 20:00,55.37
3/1/2018 21:00,50.24
3/1/2018 22:00,47.5
3/1/2018 23:00,44.3
3/2/2018 0:00,40.86
3/2/2018 1:00,37.91
3/2/2018 2:00,37.94
3/2/2018 3:00,37.42
3/2/2018 4:00,38.15
3/2/2018 5:00,41.58
3/2/2018 6:00,47.25
3/2/2018 7:00,50.62
3/2/2018 8:00,51.65
3/2/2018 9:00,53.51
3/2/2018 10:00,53.67
3/2/2018 11:00,54.31
3/2/2018 12:00,55.03
3/2/2018 13:00,53.54
3/2/2018 14:00,50.86
3/2/2018 15:00,49.11
3/2/2018 16:00,49.87
3/2/2018 17:00,48.68
3/2/2018 18:00,54
3/2/2018 19:00,56.37
3/2/2018 20:00,52.97
3/2/2018 21:00,49.29
3/2/2018 22:00,46.89
3/2/2018 23:00,43.19
3/3/2018 0:00,40.28
3/3/2018 1:00,37.33
3/3/2018 2:00,36.07
3/3/2018 3:00,35.57
3/3/2018 4:00,35.91
3/3/2018 5:00,37.21
3/3/2018 6:00,38.94
3/3/2018 7:00,43.31
3/3/2018 8:00,47.36
3/3/2018 9:00,50.38
3/3/2018 10:00,49.94
3/3/2018 11:00,50.97
3/3/2018 12:00,51.22
3/3/2018 13:00,48.65
3/3/2018 14:00,48.28
3/3/2018 15:00,47.09
3/3/2018 16:00,46.53
3/3/2018 17:00,46.08
3/3/2018 18:00,51.39
3/3/2018 19:00,54.39
3/3/2018 20:00,53.38
3/3/2018 21:00,49.85
3/3/2018 22:00,47.86
3/3/2018 23:00,44.5
3/4/2018 0:00,41.57
3/4/2018 1:00,38.26
3/4/2018 2:00,37.49
3/4/2018 3:00,36.52
3/4/2018 4:00,35.5
3/4/2018 5:00,36.68
3/4/2018 6:00,38.31
3/4/2018 7:00,41.02
3/4/2018 8:00,43.81
3/4/2018 9:00,46.54
3/4/2018 10:00,46.29
3/4/2018 11:00,48.01
3/4/2018 12:00,48.46
3/4/2018 13:00,45.54
3/4/2018 14:00,43.5
3/4/2018 15:00,42.91
3/4/2018 16:00,42.27
3/4/2018 17:00,43.45
3/4/2018 18:00,50.54
3/4/2018 19:00,53.16
3/4/2018 20:00,53.78
3/4/2018 21:00,50.46
3/4/2018 22:00,48.36
3/4/2018 23:00,44.13
3/5/2018 0:00,40.53
3/5/2018 1:00,37.83
3/5/2018 2:00,37.53
3/5/2018 3:00,36.46
3/5/2018 4:00,37.7
3/5/2018 5:00,43.19
3/5/2018 6:00,47.63
3/5/2018 7:00,49.89
3/5/2018 8:00,53.56
3/5/2018 9:00,56.11
3/5/2018 10:00,56.4
3/5/2018 11:00,57.9
3/5/2018 12:00,59.23
3/5/2018 13:00,59
3/5/2018 14:00,57.35
3/5/2018 15:00,55.57
3/5/2018 16:00,54.01
3/5/2018 17:00,52.41
3/5/2018 18:00,58.49
3/5/2018 19:00,59.82
3/5/2018 20:00,56.13
3/5/2018 21:00,51.77
3/5/2018 22:00,49.19
3/5/2018 23:00,45.55
3/6/2018 0:00,42.06
3/6/2018 1:00,40.63
3/6/2018 2:00,39.35
3/6/2018 3:00,39.54
3/6/2018 4:00,40.19
3/6/2018 5:00,45.37
3/6/2018 6:00,49.81
3/6/2018 7:00,53.74
3/6/2018 8:00,56.47
3/6/2018 9:00,59.04
3/6/2018 10:00,59.48
3/6/2018 11:00,59.98
3/6/2018 12:00,58.28
3/6/2018 13:00,59.36
3/6/2018 14:00,58.85
